X	Y
2690.201	22.937439
2679.136	22.541031
2663.628	20.859741
2652.534	20.203293
2647.038	20.485809
2643.268	22.040298
2638.189	22.451614
2630.424	21.847702
2618.856	22.087448
2611.824	23.115906
2608.599	24.657257
2603.155	26.495804
2596.169	24.938065
2588.311	23.047562
2580.736	23.45578
2572.368	24.896759
2560.293	24.632172
2543.502	23.362686
2525.185	20.658371
2507.137	17.296722
2493.48	16.087585
2488.392	17.588608
2497.958	22.475586
2516.202	29.612152
2528.489	35.115982
2527.725	35.042221
2510.511	29.411987
2497.014	26.275177
2499.054	29.115875
2511.205	32.645081
2525.165	36.290604
2531.285	37.682495
2530.955	35.742661
2527.967	32.223465
2525.399	29.340652
2526.319	29.042328
2532.009	30.231491
2543.895	31.920105
2558.758	33.975815
2573.497	36.668427
2583.374	37.744339
2580.567	35.240601
2563.684	32.387924
2547.122	29.23848
2541.719	30.873398
2559.177	38.789886
2594.806	52.157043
2634.592	64.074875
2656.274	61.356857
2653.121	56.342087
2635.42	49.329132
2611.599	46.482605
2590.16	46.004456
2575.504	46.52684
2571.583	46.066605
2577.581	45.328156
2591.207	46.458221
2605.373	49.102814
2614.211	52.835327
2614.234	52.071106
2607.156	49.663788
2604.946	49.098206
2617.016	50.509445
2643.486	62.959122
2686.48	82.677414
2724.957	98.317001
2735.93	98.237152
2725.497	98.387329
2721.228	100.476486
2731.243	100.889877
2750.628	106.038696
2766.768	120.662201
2773.877	129.499039
2777.23	126.693817
2776.344	112.402206
2765.195	94.125748
2755.448	85.954697
2759.122	93.300583
2778.316	96.970657
2808.875	104.443344
2832.411	109.232727
2833.587	107.251587
2825.498	104.069901
2816.109	105.81041
2811.613	107.313812
2814.152	107.070953
2819.611	108.319427
2824.035	111.170212
2829.944	103.379837
2837.134	99.779633
2842.79	97.371597
2848.948	96.501877
2853.36	102.790726
2855.261	113.880768
2860.402	120.825699
2863.38	123.630661
2857.944	113.688751
2847.613	113.683319
2838.296	114.645798
2832.588	114.483856
2829.126	107.571213
2691.978	23.379333
2681.718	22.877533
2668.06	21.806732
2659.794	21.342117
2657.063	21.393631
2652.692	21.729889
2644.282	22.044006
2632.444	21.521072
2622.764	22.057556
2616.14	23.486145
2610.032	24.160065
2599.981	23.588577
2590.548	23.230194
2582.739	22.649277
2575.421	22.826309
2569.415	25.251724
2560.683	24.828522
2547.288	23.357727
2530.711	20.976715
2512.625	18.942047
2498.425	17.704773
2492.653	18.594208
2499.515	22.972168
2511.718	27.782776
2519.245	31.307571
2520.175	31.799286
2507.114	29.459427
2498.62	27.781403
2499.649	29.78064
2511.195	31.70285
2525.518	34.184692
2538.011	36.045181
2538.286	35.891785
2531.884	33.341965
2525.352	30.532547
2525.042	29.440094
2527.504	30.333481
2534.317	30.385208
2548.985	31.607666
2572.004	35.050995
2580.199	37.801041
2583.116	37.913086
2575.861	35.273346
2557.091	32.095413
2545.08	31.28392
2555.062	35.769394
2586.884	46.514313
2627.788	58.345383
2655.691	61.593979
2658.618	59.676529
2640.652	52.762268
2612.105	46.825195
2587.156	44.454208
2572.181	45.016937
2569.218	46.011734
2573.556	46.835114
2582.67	47.328995
2594.957	49.294495
2607.842	49.324219
2614.075	50.779648
2611.106	50.761703
2608.46	51.200806
2617.208	52.199936
2638.955	61.806656
2676.343	77.408234
2714.541	91.772034
2729.939	97.431046
2724.644	103.868622
2723.518	100.483704
2728.408	96.543091
2740.455	102.190277
2756.615	117.087479
2771.226	127.798584
2783.723	123.049591
2787.743	113.419312
2773.648	96.595352
2756.042	87.504868
2753.26	88.173264
2769.053	95.630753
2799.515	98.679993
2826.174	102.195038
2829.867	104.378189
2825.324	106.312744
2821.589	112.828949
2821.04	115.582474
2823.226	116.979889
2824.391	115.585007
2824.058	115.374466
2828.297	105.362564
2836.619	96.10817
2842.754	93.805603
2845.618	93.955078
2846.837	98.101013
2849.018	111.156418
2858.274	118.743729
2866.381	124.479782
2862.485	114.434509
2850.409	117.388458
2839.458	119.304626
2832.048	116.246872
2826.919	108.42157
2690.219	22.849823
2680.76	21.881409
2670.175	21.830902
2665.865	22.453171
2664.367	22.345932
2659.508	22.494583
2651.197	22.019196
2640.524	22.304642
2630.628	22.662415
2623.092	23.354919
2614.951	23.076218
2603.553	23.112564
2590.959	23.729874
2580.015	21.521912
2570.962	21.901184
2564.227	23.005173
2556.576	23.865128
2545.046	23.093674
2529.555	21.451492
2513.654	20.383163
2502.12	19.438614
2499.275	20.223465
2502.402	23.156693
2509.844	26.698807
2518.502	29.096497
2515.576	30.639297
2508.815	29.149109
2500.847	28.352112
2500.008	30.163528
2508.822	31.580688
2523.726	31.94368
2536.06	33.134552
2539.667	34.961792
2534.929	33.694336
2527.66	31.477676
2524.709	30.355209
2526.114	30.415176
2532.446	29.695786
2545.192	31.411362
2561.861	35.24205
2577.484	39.238373
2584.276	40.380829
2577.57	38.132172
2560.496	33.622208
2547.968	31.869156
2554.497	34.117783
2581.805	41.996033
2621.402	53.048874
2652.884	59.302307
2661.318	60.140991
2644.727	53.269775
2614.953	45.808411
2589.034	42.805969
2574.529	43.798798
2571.055	46.171051
2572.686	47.480087
2576.859	47.003387
2586.884	47.975494
2602.55	50.888412
2614.745	52.06691
2616.073	53.453293
2614.391	52.853912
2619.647	53.011185
2635.268	60.327011
2662.616	73.077209
2697.868	86.212753
2717.991	95.002991
2718.032	99.594589
2720.189	96.811005
2724.772	94.331833
2734.57	101.029129
2751.856	115.786942
2770.243	125.488922
2786.232	124.91864
2792.313	117.029877
2778.932	101.696365
2758.78	92.141022
2752.914	89.355789
2764.281	94.611542
2789.365	94.371063
2813.025	95.027069
2817.99	96.527451
2819.143	100.579086
2825.084	110.87973
2831.926	117.68573
2835.526	126.974625
2833.19	124.326767
2828.676	120.056793
2829.45	108.544662
2836.106	95.321365
2839.554	92.497467
2838.965	95.072037
2839.779	100.733643
2844.975	108.733856
2857.605	114.589371
2868.832	117.772446
2866.158	116.963013
2854.248	114.409424
2843.263	120.82724
2834.943	117.763672
2827.145	107.825806
2685.584	21.550781
2678.977	21.302628
2672.443	21.854736
2669.927	22.013931
2667.81	22.557388
2662.871	22.662521
2654.26	22.819534
2645.091	22.979263
2634.748	23.829285
2626.715	23.28978
2617.393	22.923889
2605.949	22.63121
2593.312	22.035904
2581.259	22.272095
2571.629	22.234314
2563.917	21.692505
2556.296	22.570099
2545.673	22.192398
2530.858	20.698639
2514.874	20.593536
2502.937	20.494965
2497.655	20.507721
2499.305	22.714706
2504.193	25.882034
2510.993	27.865265
2514.035	29.277603
2515.396	29.504318
2510.366	30.592865
2507.493	32.021378
2509.801	32.392334
2519.039	31.687881
2528.813	32.52272
2533.76	32.043091
2532.49	32.982132
2528.969	32.638947
2528.062	32.452621
2530.563	31.947052
2535.003	30.219162
2543.252	31.000687
2557.865	34.434845
2573.826	39.231155
2582.486	41.363754
2578.887	39.755539
2564.459	35.337616
2552.273	31.857788
2555.908	31.334564
2579.523	37.029984
2615.487	50.59343
2646.914	58.784256
2658.44	59.844589
2645.407	52.605377
2618.454	44.049088
2594.478	40.65892
2580.848	42.627121
2575.631	46.387741
2573.914	47.797211
2575.382	46.536469
2584.671	46.769974
2602.056	49.799194
2616.856	53.760513
2619.719	56.339432
2616.076	55.700989
2617.764	53.872879
2632.193	58.647842
2652.985	69.291504
2675.526	80.667084
2703.203	91.71637
2715.258	95.37735
2716.393	98.83049
2723.662	96.233322
2733.896	103.44371
2751.332	117.649139
2768.703	127.656036
2781.859	126.536102
2785.294	120.497696
2772.627	107.630768
2759.369	98.082291
2753.332	92.478241
2761.251	94.497742
2778.653	89.815155
2796.208	89.07309
2807.709	89.218323
2813.025	92.753128
2825.587	103.066345
2840.091	118.828705
2846.892	128.782242
2845.302	127.255737
2838.185	119.292816
2834.225	109.115295
2835.514	98.92157
2835.364	93.172455
2832.707	95.340424
2834.194	101.365952
2841.627	108.023972
2855.162	111.460663
2867.723	113.949905
2868.13	124.817413
2858.898	117.239273
2848.613	121.263428
2839.086	117.392288
2829.416	106.790726
2681.09	21.337006
2677.091	21.149307
2672.704	21.324509
2670.574	21.199554
2667.517	21.670044
2661.832	21.995651
2654.114	22.203384
2646.593	22.449341
2638.757	23.194565
2630.948	23.071259
2621.093	23.118896
2608.845	23.054947
2595.328	22.4142
2582.358	22.897537
2571.396	22.941956
2562.963	22.486893
2555.408	22.551727
2546.169	22.757874
2532.616	21.968765
2517.373	21.18898
2504.541	20.565933
2497.559	20.452026
2496.344	22.015732
2498.775	24.280655
2507.471	27.216339
2515.319	29.933212
2523.029	31.30986
2519.191	32.140167
2511.952	31.99823
2507.825	29.854095
2512.254	29.146484
2521.694	29.89447
2529.374	31.10817
2532.432	33.151718
2532.474	33.240601
2533.335	32.621567
2535.211	31.200974
2537.375	30.987946
2543.04	30.718369
2555.55	34.745331
2570.588	39.387039
2580.379	41.344788
2578.752	39.71312
2566.393	35.302277
